file ho lu Egap a c c/a
ZnO-LDAU_9.50_7.50.out 8.4423 11.8754 3.4331 3.1637932874179424 5.060442591599496 1.599485848751345
ZnO-LDAU_12.00_7.00.out 8.3509 11.7824 3.4315 3.168506409380605 5.065877765380962 1.5988220034471272
ZnO-LDAU_7.50_8.00.out 8.5432 11.9629 3.4197 3.159411393082939 5.055421398218647 1.6001149484004331
ZnO-LDAU_5.00_9.00.out 8.7009 12.1157 3.4148 3.152094388501536 5.04659557859759 1.601029333704907
ZnO-LDAU_11.50_7.00.out 8.3814 11.7889 3.4075 3.168061871182447 5.065596570651357 1.5989575887798788
ZnO-LDAU_6.00_8.50.out 8.6365 12.0435 3.407 3.155471855183653 5.050812807283194 1.6006521493721988
ZnO-LDAU_9.00_7.50.out 8.4818 11.8825 3.4007 3.1633003206553134 5.060154398825856 1.599644006541114
ZnO-LDAU_4.00_9.50.out 8.7889 12.1879 3.399 3.1484203399231334 5.043286609413545 1.60184666115347
ZnO-LDAU_11.00_7.00.out 8.4133 11.7955 3.3822 3.1676071098688574 5.065317912015536 1.599099173705683
ZnO-LDAU_7.00_8.00.out 8.5925 11.9706 3.3781 3.1588701421130527 5.055126906221122 1.6002958902386573
ZnO-LDAU_8.50_7.50.out 8.523 11.8898 3.3668 3.1627946734237677 5.059864208017139 1.5998079959265163
ZnO-LDAU_5.50_8.50.out 8.6956 12.0517 3.3561 3.1549027071821505 5.050482750917476 1.6008362918514187
ZnO-LDAU_4.50_9.00.out 8.7684 12.1243 3.3559 3.1514917463455254 5.046286296547314 1.6012373512953018
ZnO-LDAU_10.50_7.00.out 8.4465 11.8022 3.3557 3.167143975836852 5.06503147121354 1.5992425699167054
ZnO-LDAU_6.50_8.00.out 8.6442 11.9786 3.3344 3.158314169988179 5.054831469340012 1.6004840548712518
ZnO-LDAU_8.00_7.50.out 8.5662 11.8972 3.331 3.1622763654083803 5.059571412216878 1.599977619781337
ZnO-LDAU_10.00_7.00.out 8.4811 11.809 3.3279 3.1666776298568338 5.064731152433918 1.5993832478182806
ZnO-LDAU_5.00_8.50.out 8.7576 12.0601 3.3025 3.154307939055998 5.050189098816468 1.6010450458200534
