highest_occupied lowest_unoccupied Egap
ZnO-PBEU-10.00_10.00.out 7.0464 11.1901 4.1437
ZnO-PBEU-10.00_10.50.out 6.9622 11.2426 4.2804
ZnO-PBEU-10.00_11.00.out 6.8783 11.2941 4.4158
ZnO-PBEU-10.00_11.50.out 6.7947 11.3444 4.5497
ZnO-PBEU-10.00_12.00.out 6.7116 11.3938 4.6822
ZnO-PBEU-10.00_4.00.out 8.0327 10.4534 2.4207
ZnO-PBEU-10.00_4.50.out 7.9550 10.5234 2.5684
ZnO-PBEU-10.00_5.00.out 7.8759 10.5915 2.7156
ZnO-PBEU-10.00_5.50.out 7.7958 10.6580 2.8622
ZnO-PBEU-10.00_6.00.out 7.7147 10.7229 3.0082
ZnO-PBEU-10.00_6.50.out 7.6328 10.7862 3.1534
ZnO-PBEU-10.00_7.00.out 7.5502 10.8480 3.2978
ZnO-PBEU-10.00_7.50.out 7.4669 10.9084 3.4415
ZnO-PBEU-10.00_8.00.out 7.3832 10.9673 3.5841
ZnO-PBEU-10.00_8.50.out 7.2992 11.0249 3.7257
ZnO-PBEU-10.00_9.00.out 7.2150 11.0812 3.8662
ZnO-PBEU-10.00_9.50.out 7.1307 11.1363 4.0056
ZnO-PBEU-10.50_10.00.out 7.0079 11.1850 4.1771
ZnO-PBEU-10.50_10.50.out 6.9220 11.2375 4.3155
ZnO-PBEU-10.50_11.00.out 6.8362 11.2891 4.4529
ZnO-PBEU-10.50_11.50.out 6.7507 11.3394 4.5887
ZnO-PBEU-10.50_12.00.out 6.6657 11.3887 4.723
ZnO-PBEU-10.50_4.00.out 8.0105 10.4485 2.438
ZnO-PBEU-10.50_4.50.out 7.9317 10.5184 2.5867
ZnO-PBEU-10.50_5.00.out 7.8516 10.5865 2.7349
ZnO-PBEU-10.50_5.50.out 7.7702 10.6530 2.8828
ZnO-PBEU-10.50_6.00.out 7.6879 10.7179 3.03
ZnO-PBEU-10.50_6.50.out 7.6048 10.7812 3.1764
ZnO-PBEU-10.50_7.00.out 7.5209 10.8431 3.3222
ZnO-PBEU-10.50_7.50.out 7.4362 10.9034 3.4672
ZnO-PBEU-10.50_8.00.out 7.3511 10.9623 3.6112
ZnO-PBEU-10.50_8.50.out 7.2656 11.0199 3.7543
ZnO-PBEU-10.50_9.00.out 7.1798 11.0762 3.8964
ZnO-PBEU-10.50_9.50.out 7.0939 11.1312 4.0373
ZnO-PBEU-11.00_10.00.out 6.9712 11.1801 4.2089
ZnO-PBEU-11.00_10.50.out 6.8837 11.2327 4.349
ZnO-PBEU-11.00_11.00.out 6.7961 11.2841 4.488
ZnO-PBEU-11.00_11.50.out 6.7088 11.3344 4.6256
ZnO-PBEU-11.00_12.00.out 6.6218 11.3838 4.762
ZnO-PBEU-11.00_4.00.out 7.9892 10.4436 2.4544
ZnO-PBEU-11.00_4.50.out 7.9095 10.5136 2.6041
ZnO-PBEU-11.00_5.00.out 7.8283 10.5817 2.7534
ZnO-PBEU-11.00_5.50.out 7.7459 10.6481 2.9022
ZnO-PBEU-11.00_6.00.out 7.6624 10.7130 3.0506
ZnO-PBEU-11.00_6.50.out 7.5781 10.7764 3.1983
ZnO-PBEU-11.00_7.00.out 7.4929 10.8382 3.3453
ZnO-PBEU-11.00_7.50.out 7.4070 10.8985 3.4915
ZnO-PBEU-11.00_8.00.out 7.3204 10.9574 3.637
ZnO-PBEU-11.00_8.50.out 7.2335 11.0150 3.7815
ZnO-PBEU-11.00_9.00.out 7.1463 11.0713 3.925
ZnO-PBEU-11.00_9.50.out 7.0588 11.1263 4.0675
ZnO-PBEU-11.50_10.00.out 6.9362 11.1753 4.2391
ZnO-PBEU-11.50_10.50.out 6.8470 11.2279 4.3809
ZnO-PBEU-11.50_11.00.out 6.7578 11.2793 4.5215
ZnO-PBEU-11.50_11.50.out 6.6688 11.3296 4.6608
ZnO-PBEU-11.50_12.00.out 6.5801 11.3789 4.7988
ZnO-PBEU-11.50_4.00.out 7.9689 10.4389 2.47
ZnO-PBEU-11.50_4.50.out 7.8882 10.5088 2.6206
ZnO-PBEU-11.50_5.00.out 7.8060 10.5769 2.7709
ZnO-PBEU-11.50_5.50.out 7.7226 10.6434 2.9208
ZnO-PBEU-11.50_6.00.out 7.6380 10.7083 3.0703
ZnO-PBEU-11.50_6.50.out 7.5526 10.7716 3.219
ZnO-PBEU-11.50_7.00.out 7.4662 10.8334 3.3672
ZnO-PBEU-11.50_7.50.out 7.3790 10.8937 3.5147
ZnO-PBEU-11.50_8.00.out 7.2912 10.9526 3.6614
ZnO-PBEU-11.50_8.50.out 7.2029 11.0102 3.8073
ZnO-PBEU-11.50_9.00.out 7.1143 11.0665 3.9522
ZnO-PBEU-11.50_9.50.out 7.0253 11.1215 4.0962
ZnO-PBEU-12.00_10.00.out 6.9028 11.1706 4.2678
ZnO-PBEU-12.00_10.50.out 6.8121 11.2232 4.4111
ZnO-PBEU-12.00_11.00.out 6.7213 11.2745 4.5532
ZnO-PBEU-12.00_11.50.out 6.6306 11.3248 4.6942
ZnO-PBEU-12.00_12.00.out 6.5402 11.3742 4.834
ZnO-PBEU-12.00_4.00.out 7.9494 10.4342 2.4848
ZnO-PBEU-12.00_4.50.out 7.8678 10.5042 2.6364
ZnO-PBEU-12.00_5.00.out 7.7847 10.5723 2.7876
ZnO-PBEU-12.00_5.50.out 7.7003 10.6387 2.9384
ZnO-PBEU-12.00_6.00.out 7.6147 10.7036 3.0889
ZnO-PBEU-12.00_6.50.out 7.5282 10.7669 3.2387
ZnO-PBEU-12.00_7.00.out 7.4407 10.8287 3.388
