File,a (Å),c (Å),c/a Ratio,Band Gap (eV)
zno_vcrelax_hubbard_10.00_7.50.out,3.2675062692829626,5.222977457383002,1.5984598121457185,3.201
zno_vcrelax_hubbard_10.50_7.50.out,3.26857628975985,5.223508713312674,1.5980990652344411,3.225
zno_vcrelax_hubbard_11.00_7.50.out,3.2696119561876276,5.22425654613383,1.5978215813185737,3.247
zno_vcrelax_hubbard_11.50_7.50.out,3.2706292987132377,5.224875595381507,1.597513847698095,3.269
zno_vcrelax_hubbard_12.00_7.50.out,3.271614159442939,5.225553367377003,1.597240112283523,3.288
zno_vcrelax_hubbard_9.50_8.00.out,3.264846388896338,5.21856854289011,1.5984116620733926,3.31
zno_vcrelax_hubbard_10.00_8.00.out,3.2659241271080544,5.219243720524279,1.5980909284459928,3.336
zno_vcrelax_hubbard_10.50_8.00.out,3.266981963235586,5.219910598816168,1.5977775994962706,3.36
zno_vcrelax_hubbard_8.50_8.50.out,3.267457590699776,5.226625162083361,1.5996,3.368
zno_vcrelax_hubbard_11.00_8.00.out,3.2680168487410004,5.22056344991262,1.597471399795211,3.383
zno_vcrelax_hubbard_11.50_8.00.out,3.2690106328973814,5.22131150818835,1.5972145993176567,3.4
