Total number of files = 289
Total BFGS Errors 131
Converged Files: 158

                                  File     a (Å)     c (Å)  c/a Ratio  Band Gap (eV)
0   zno_vcrelax_hubbard_10.00_7.50.out  3.267506  5.222977   1.598460          3.201
1   zno_vcrelax_hubbard_10.50_7.50.out  3.268576  5.223509   1.598099          3.225
2   zno_vcrelax_hubbard_11.00_7.50.out  3.269612  5.224257   1.597822          3.247
3   zno_vcrelax_hubbard_11.50_7.50.out  3.270629  5.224876   1.597514          3.269
4   zno_vcrelax_hubbard_12.00_7.50.out  3.271614  5.225553   1.597240          3.288
5    zno_vcrelax_hubbard_9.50_8.00.out  3.264846  5.218569   1.598412          3.310
6   zno_vcrelax_hubbard_10.00_8.00.out  3.265924  5.219244   1.598091          3.336
7   zno_vcrelax_hubbard_10.50_8.00.out  3.266982  5.219911   1.597778          3.360
8    zno_vcrelax_hubbard_8.50_8.50.out  3.267458  5.226625   1.599600          3.368
9   zno_vcrelax_hubbard_11.00_8.00.out  3.268017  5.220563   1.597471          3.383
10  zno_vcrelax_hubbard_11.50_8.00.out  3.269011  5.221312   1.597215          3.400
